label,timestamp,dev_addr,spreading_factor,framecounter,NODE_ID,receptions,snapshot,lon,lat,h
TX,208.475241731,492,8,1,0,"[['RX_GW', 208.682654934, 492, 8, 1, 868.1, -130.063069159, '00:00:00:00:00:02'], ['RX_GW', 208.682655949, 492, 8, 1, 868.1, -127.36627704, '00:00:00:00:00:1c'], ['RX_GW', 208.682656283, 492, 8, 1, 868.1, -126.448663267, '00:00:00:00:00:04']]",0,12.473647500223635,41.90510214997182,1.2
TX,528.475241731,492,8,2,1,"[['RX_GW', 528.682656184, 492, 8, 2, 868.1, -126.858965908, '00:00:00:00:00:06']]",0,12.475277202854894,41.90456272683241,1.2
TX,528.475241731,492,8,2,2,"[['RX_GW', 528.682656184, 492, 8, 2, 868.1, -126.858965908, '00:00:00:00:00:06']]",0,12.474820178903526,41.905243672915375,1.2
TX,528.475241731,492,8,2,3,"[['RX_GW', 528.682656184, 492, 8, 2, 868.1, -126.858965908, '00:00:00:00:00:06']]",0,12.47543334430281,41.904199987981066,1.2
TX,208.475241731,492,8,1,4,"[['RX_GW', 208.682654934, 492, 8, 1, 868.1, -130.063069159, '00:00:00:00:00:02'], ['RX_GW', 208.682655949, 492, 8, 1, 868.1, -127.36627704, '00:00:00:00:00:1c'], ['RX_GW', 208.682656283, 492, 8, 1, 868.1, -126.448663267, '00:00:00:00:00:04']]",0,12.474411100971833,41.904040958885744,1.2
TX,1141.475241731,492,8,4,5,[],0,12.473707855126271,41.904645588457704,1.2
TX,528.475241731,492,8,2,6,"[['RX_GW', 528.682656184, 492, 8, 2, 868.1, -126.858965908, '00:00:00:00:00:06']]",0,12.475906944604363,41.90517112002011,1.2
TX,528.475241731,492,8,2,7,"[['RX_GW', 528.682656184, 492, 8, 2, 868.1, -126.858965908, '00:00:00:00:00:06']]",0,12.475870932533176,41.90577934601706,1.2
TX,528.475241731,492,8,2,8,"[['RX_GW', 528.682656184, 492, 8, 2, 868.1, -126.858965908, '00:00:00:00:00:06']]",0,12.475039755885334,41.90521528677656,1.2
TX,528.475241731,492,8,2,9,"[['RX_GW', 528.682656184, 492, 8, 2, 868.1, -126.858965908, '00:00:00:00:00:06']]",0,12.474084600690748,41.90409913019325,1.2
